NAMESPACE                      NAME                                                READY   STATUS    RESTARTS       AGE    IP              NODE                 NOMINATED NODE   READINESS GATES
prod                           literaoctave-deploy-c5f77fcf5-mjf5h                 1/1     Running   0              13d    192.168.5.161   zee8608workerapi01   <none>           <none>
prod                           literaoctave-deploy-c5f77fcf5-ns8zb                 1/1     Running   0              13d    192.168.5.167   zee8608workerapi01   <none>           <none>
prod                           literaoctavecms-deploy-85c87cbb88-7cmcl             1/1     Running   0              13d    192.168.5.162   zee8608workerapi01   <none>           <none>
prod                           lmsapi-deploy-7bdbb68dd9-45krh                      1/1     Running   0              9d     192.168.5.180   zee8608workerapi01   <none>           <none>
prod                           novachat-deploy-6c57d7bf4b-6gtb9                    1/1     Running   0              13d    192.168.5.171   zee8608workerapi01   <none>           <none>
prod                           pentemind-23-deploy-945d9bfbf-c75bc                 1/1     Running   0              13d    192.168.5.166   zee8608workerapi01   <none>           <none>
prod                           pentemind-23-deploy-945d9bfbf-ng992                 1/1     Running   0              13d    192.168.5.164   zee8608workerapi01   <none>           <none>
prod                           pentemind-25-deploy-66ffd97754-4qkqm                1/1     Running   0              13d    192.168.5.172   zee8608workerapi01   <none>           <none>
prod                           pentemind-25-deploy-66ffd97754-hh7hj                1/1     Running   0              13d    192.168.5.174   zee8608workerapi01   <none>           <none>
prod                           zllsaathiapi-deploy-7fb44565c9-k2tcc                1/1     Running   0              8d     192.168.5.182   zee8608workerapi01   <none>           <none>
redis                          redis-594bb96598-d5htw                              1/1     Running   0              169d   192.168.5.203   zee8608workerapi01   <none>           <none>
