NAMESPACE                      NAME                                         READY   STATUS    RESTARTS       AGE    IP              NODE                 NOMINATED NODE   READINESS GATES
kube-flannel                   kube-flannel-ds-nmx5p                        1/1     Running   2 (104d ago)   237d   10.48.219.136   zee8608masterapi02   <none>           <none>
kube-system                    etcd-zee8608masterapi02                      1/1     Running   2 (104d ago)   238d   10.48.219.136   zee8608masterapi02   <none>           <none>
kube-system                    kube-apiserver-zee8608masterapi02            1/1     Running   4 (104d ago)   238d   10.48.219.136   zee8608masterapi02   <none>           <none>
kube-system                    kube-controller-manager-zee8608masterapi02   1/1     Running   5 (104d ago)   238d   10.48.219.136   zee8608masterapi02   <none>           <none>
kube-system                    kube-proxy-nkvxz                             1/1     Running   2 (104d ago)   238d   10.48.219.136   zee8608masterapi02   <none>           <none>
kube-system                    kube-scheduler-zee8608masterapi02            1/1     Running   6 (104d ago)   238d   10.48.219.136   zee8608masterapi02   <none>           <none>
kubesphere-logging-system      fluent-bit-8z97b                             1/1     Running   0              101d   192.168.1.6     zee8608masterapi02   <none>           <none>
kubesphere-monitoring-system   node-exporter-b9qql                          2/2     Running   4 (104d ago)   235d   10.48.219.136   zee8608masterapi02   <none>           <none>
metallb-system                 speaker-5gf92                                1/1     Running   4 (104d ago)   237d   10.48.219.136   zee8608masterapi02   <none>           <none>
